Dataset,Subject,Time,Binding,Vaccine Scheme,Figure
2016 Tam,Mouse_16,Day70,9.65058,Bolus,Fig1C-Red
2016 Tam,Mouse_16,Day77,11.37195,Bolus,Fig1C-Red
2016 Tam,Mouse_16,Day84,8.81479,Bolus,Fig1C-Red
2016 Tam,Mouse_16,Day125,5.026772,Bolus,Fig1C-Red
2016 Tam,Mouse_16,Day139,3.837612,Bolus,Fig1C-Red
2016 Tam,Mouse_17,Day7,0.033422,Bolus,Fig1C-Red
2016 Tam,Mouse_17,Day14,0.871093,Bolus,Fig1C-Red
2016 Tam,Mouse_17,Day21,0.775874,Bolus,Fig1C-Red
2016 Tam,Mouse_17,Day28,5.69638,Bolus,Fig1C-Red
2016 Tam,Mouse_17,Day35,7.611693,Bolus,Fig1C-Red
2016 Tam,Mouse_17,Day42,10.1817,Bolus,Fig1C-Red
2016 Tam,Mouse_17,Day49,10.48006,Bolus,Fig1C-Red
2016 Tam,Mouse_17,Day56,10.5601,Bolus,Fig1C-Red
2016 Tam,Mouse_17,Day63,8.480262,Bolus,Fig1C-Red
2016 Tam,Mouse_17,Day70,9.083342,Bolus,Fig1C-Red
2016 Tam,Mouse_17,Day77,9.930858,Bolus,Fig1C-Red
2016 Tam,Mouse_17,Day84,8.125062,Bolus,Fig1C-Red
2016 Tam,Mouse_17,Day125,3.977618,Bolus,Fig1C-Red
2016 Tam,Mouse_17,Day139,4.609733,Bolus,Fig1C-Red
2016 Tam,Mouse_18,Day7,0.08599,Bolus,Fig1C-Red
2016 Tam,Mouse_18,Day14,0.660449,Bolus,Fig1C-Red
2016 Tam,Mouse_18,Day21,0.358593,Bolus,Fig1C-Red
2016 Tam,Mouse_18,Day28,3.250728,Bolus,Fig1C-Red
2016 Tam,Mouse_18,Day35,6.704809,Bolus,Fig1C-Red
2016 Tam,Mouse_18,Day42,4.450679,Bolus,Fig1C-Red
2016 Tam,Mouse_18,Day49,4.760833,Bolus,Fig1C-Red
2016 Tam,Mouse_18,Day56,7.022513,Bolus,Fig1C-Red
2016 Tam,Mouse_18,Day63,4.426054,Bolus,Fig1C-Red
2016 Tam,Mouse_18,Day70,6.654605,Bolus,Fig1C-Red
2016 Tam,Mouse_18,Day77,5.254712,Bolus,Fig1C-Red
2016 Tam,Mouse_18,Day84,5.196591,Bolus,Fig1C-Red
2016 Tam,Mouse_18,Day125,13.91921,Bolus,Fig1C-Red
2016 Tam,Mouse_18,Day139,0.927147,Bolus,Fig1C-Red
2016 Tam,Mouse_19,Day7,0.090438,Bolus,Fig1C-Red
2016 Tam,Mouse_19,Day14,0.502032,Bolus,Fig1C-Red
2016 Tam,Mouse_19,Day21,0.47453,Bolus,Fig1C-Red
2016 Tam,Mouse_19,Day28,8.089917,Bolus,Fig1C-Red
2016 Tam,Mouse_19,Day35,11.81263,Bolus,Fig1C-Red
2016 Tam,Mouse_19,Day42,13.79931,Bolus,Fig1C-Red
2016 Tam,Mouse_19,Day49,16.94104,Bolus,Fig1C-Red
2016 Tam,Mouse_19,Day56,19.59128,Bolus,Fig1C-Red
2016 Tam,Mouse_19,Day63,12.94503,Bolus,Fig1C-Red
2016 Tam,Mouse_19,Day70,15.96401,Bolus,Fig1C-Red
2016 Tam,Mouse_19,Day77,14.37359,Bolus,Fig1C-Red
2016 Tam,Mouse_19,Day84,14.93463,Bolus,Fig1C-Red
2016 Tam,Mouse_19,Day125,6.171942,Bolus,Fig1C-Red
2016 Tam,Mouse_19,Day139,7.795269,Bolus,Fig1C-Red
2016 Tam,Mouse_20,Day7,0.276012,Bolus,Fig1C-Red
2016 Tam,Mouse_20,Day14,1.237083,Bolus,Fig1C-Red
2016 Tam,Mouse_20,Day21,1.181403,Bolus,Fig1C-Red
2016 Tam,Mouse_20,Day28,7.502205,Bolus,Fig1C-Red
2016 Tam,Mouse_20,Day35,6.003029,Bolus,Fig1C-Red
2016 Tam,Mouse_20,Day42,6.190324,Bolus,Fig1C-Red
2016 Tam,Mouse_20,Day49,6.639122,Bolus,Fig1C-Red
2016 Tam,Mouse_20,Day56,5.305316,Bolus,Fig1C-Red
2016 Tam,Mouse_20,Day63,3.893053,Bolus,Fig1C-Red
2016 Tam,Mouse_20,Day70,4.502321,Bolus,Fig1C-Red
2016 Tam,Mouse_20,Day77,4.656411,Bolus,Fig1C-Red
2016 Tam,Mouse_20,Day84,4.208274,Bolus,Fig1C-Red
2016 Tam,Mouse_20,Day125,8.480433,Bolus,Fig1C-Red
2016 Tam,Mouse_20,Day139,0.892708,Bolus,Fig1C-Red
2016 Tam,Mouse_21,Day7,0.1,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_21,Day14,27.94078,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_21,Day21,19.17029,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_21,Day28,26.36527,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_21,Day35,24.73758,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_21,Day42,21.49009,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_21,Day49,35.73288,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_21,Day56,23.43741,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_21,Day63,45.50331,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_21,Day77,27.68372,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_21,Day91,17.26597,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_22,Day7,0.1,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_22,Day14,10.82128,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_22,Day21,3.882582,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_22,Day28,20.75868,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_22,Day35,14.54851,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_22,Day42,13.5449,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_22,Day49,13.55347,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_22,Day56,8.707424,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_22,Day63,26.49628,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_22,Day77,10.36373,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_22,Day91,7.884632,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_23,Day7,1.133349,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_23,Day14,0,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_23,Day21,3.915306,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_23,Day28,11.15273,Exp Increase 1wk,Fig2C-Blue
2016 Tam,Mouse_23,Day35,10.02237,Exp Increase 1wk,Fig2C-Blue
